Sender,Subject,Date,Type
Railways Recruitment <info@jobsguru.info>,,"Sat, 25 Aug 2018 10:17:42 +0000 (UTC)",SPAM
"""CC Department (Katrina)"" <vidhya@gabbar.info>",Credit Card XxXx9999 Confirmed,"Sat, 25 Aug 2018 09:39:29 +0000",SPAM
Join Now <newsletters@smtpmailbox.com>,Secret CODE released and get Rs1500 BONUS,"Sat, 25 Aug 2018 13:44:56 +0530",SPAM
Myntra <info@myntra.com>,We're giving you Rs.200!,"Sat, 25 Aug 2018 13:28:16 +0530",SPAM
Amisha <notification@cashmeback.in>,"Hi  bhambri.lakshay.lakshay@gmail.com -  I'm Amisha, Update your details & contact with me.","Sat, 25 Aug 2018 10:01:53 +0530",SPAM
StandardChartered <vidhya@gabbar.info>,Many Congrats ~ Exclusive Invitation To Apply For Credit Card from Standard Chartered,"Sat, 25 Aug 2018 01:46:40 +0000",SPAM
Citi Invitation <vidhya@gabbar.info>,Open Your Return Gift,"Sat, 25 Aug 2018 00:18:38 +0000",SPAM
"""Card Processing Dept (Sonam)"" <aditi@induse.info>",Credit Card XxXx2922 Confirmed,"Sat, 25 Aug 2018 00:10:18 +0000",SPAM
Amisha <notification@cashmeback.in>,"Hi  bhambri.lakshay.lakshay@gmail.com -  I'm Amisha, Update your details & contact with me.","Fri, 24 Aug 2018 15:06:25 +0530",SPAM
CAT Admissions <info@eckmarket.in>,[CAT 2018] Score 99+ in Less than 100 days,"Fri, 24 Aug 2018 13:06:51 +0000",SPAM
"""Loan Process Department (Sherlyn)"" <vidhya@gabbar.info>",Regd Approval of Loan Application xxxx2011,"Fri, 24 Aug 2018 12:35:28 +0000",SPAM
Govt Job- Wapcos <info@jobsguru.info>,,"Fri, 24 Aug 2018 11:32:07 +0000 (UTC)",SPAM
Help Now <newsletters@viralbake.com>,Dear bhambri.lakshay.lakshay@gmail.com Kerala Needs Your_Help_Rush Your_Support,"Fri, 24 Aug 2018 15:30:59 +0530",SPAM
Ventura Securities <newsletters@shopatbest.com>,"Hi Dear, Get your Trading and demat account","Fri, 24 Aug 2018 13:34:34 +0530",SPAM
Godrej properties <newsletters@shopatbest.com>,"Elegantly Designed Luxurious 2,3,4BHK Residences at Rs. 9999 Pm","Fri, 24 Aug 2018 13:02:19 +0530",SPAM
kotak 811 <contact@topicsontechemail.com>,"Congratulations , You areeligible for 811Saving Account","Fri, 24 Aug 2018 07:24:10 GMT",SPAM
Bank Offer <notification@cashmeback.in>,Hi bhambri.lakshay.lakshay@gmail.com - Your Credit Card is E-Approved. Claim Now !!,"Fri, 24 Aug 2018 09:51:03 +0530",SPAM
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",24 Aug 2018 04:57:39 -0000,SPAM
"""Regional Manager (Katrina)"" <vidhya@gabbar.info>",Regd Approval of Loan Application xxxx2011,"Fri, 24 Aug 2018 02:09:32 +0000",SPAM
StandardChartered <vidhya@gabbar.info>,Many Congratulations!!! Invited to Apply for Credit Card from Standard Chartered,"Fri, 24 Aug 2018 01:51:32 +0000",SPAM
StandardChartered <aditi@induse.info>,Many Congratulations!!! You can Apply for Credit Card from Standard Chartered,"Thu, 23 Aug 2018 18:10:19 +0000",SPAM
Myntra <info@myntra.com>,"It's New, It's Now","Thu, 23 Aug 2018 20:50:27 +0530",SPAM
Submit Resume <vidhya@gabbar.info>,"Amazon,Igate Solutions MNC JOBS for 0 to 13 Yrs Exp | Salary 25k to 95k","Thu, 23 Aug 2018 15:13:27 +0000",SPAM
Airtel Payments Bank <info@airtel.online>,Now Withdraw Cash without a Card!,"Thu, 23 Aug 2018 13:09:06 +0000",SPAM
Godrej Homes <newsletters@shopatbest.com>,Elegantly Designed Luxurious Residences at Rs. 9999 Pm,"Thu, 23 Aug 2018 17:20:14 +0530",SPAM
Submit your CV <info@jobsguru.info>,,"Thu, 23 Aug 2018 10:46:19 +0000 (UTC)",SPAM
India bulls loan <newsletters@mailonspot.com>,Instant personal loan approval now,"Thu, 23 Aug 2018 13:50:31 +0530",SPAM
Apple Company <dahmane.boudries@c2n.upsaclay.fr>,infoo...............,"Thu, 23 Aug 2018 10:18:27 +0200 (CEST)",SPAM
Apple Company <dahmane.boudries@c2n.upsaclay.fr>,infoo...............,"Thu, 23 Aug 2018 10:16:57 +0200 (CEST)",SPAM
Apple Company <dahmane.boudries@c2n.upsaclay.fr>,infoo...............,"Thu, 23 Aug 2018 10:15:27 +0200 (CEST)",SPAM
Check TermPlan Now <newsletters@shopatbest.com>,"Hi Dear, Secure Your_loved one's Future.","Thu, 23 Aug 2018 13:32:42 +0530",SPAM
YourVoucher <contact@topicsontechemail.com>,30 minutes Paperless approval.,"Thu, 23 Aug 2018 07:33:15 GMT",SPAM
Register Here Now <newsletters@shopatbest.com>,"Hi Dear, Get Loan within 72 hrs From fullerton","Thu, 23 Aug 2018 10:36:44 +0530",SPAM
"""Dept of Approval (Minissha)"" <vidhya@gabbar.info>",Your Application has been processed succcessfully. Please complete Your Registration,"Wed, 22 Aug 2018 17:39:31 +0000",SPAM
Vidhya <vidhya@gabbar.info>,Accenture Technologies | ITC Infotech New Vacancy,"Wed, 22 Aug 2018 17:32:28 +0000",SPAM
Aditi <aditi@induse.info>,Your Application VIS5212019 Shortlisted For Immediate Processing,"Wed, 22 Aug 2018 12:05:13 +0000",SPAM
HPCL Job <info@jobsguru.info>,,"Wed, 22 Aug 2018 10:55:31 +0000 (UTC)",SPAM
Amex India <newsletters@shopatbest.com>,The Card for Movie Goers. The Card for you!,"Wed, 22 Aug 2018 12:53:09 +0530",SPAM
CheckSugar Now <newsletters@shopatbest.com>,Managing sugar made easy. Get 100% Cashback on Smart Glucometer,"Wed, 22 Aug 2018 11:52:12 +0530",SPAM
Standard Chartered Credit Card <contact@topicsontechemail.com>,"Dear <w2-name></w2-name>, BookMyshow vouchers worth Rs 2,000*, up to 20% cashback* on Uber rides & more","Wed, 22 Aug 2018 06:48:44 GMT",SPAM
Oxfam India <newsletters@shopatbest.com>,Kerala needs your urgent help,"Wed, 22 Aug 2018 11:30:23 +0530",SPAM
JoinTheClub Now <newsletters@shopatbest.com>,Never Run Out Of Holidays With Club Mahindra,"Wed, 22 Aug 2018 10:40:59 +0530",SPAM
"Ramona Chuckaree <""ramona.""@road.ocn.ne.jp>",UNCC Confirmation Notice.,"Wed, 22 Aug 2018 00:06:28 -0300",SPAM
Walkin Jobs <vidhya@gabbar.info>,TCS Job Vacancies Exp 0 to 13 Yrs | Salary 35k to 95k PM,"Tue, 21 Aug 2018 19:16:29 +0000",SPAM
Myntra <info@myntra.com>,Up to 70% off on Accessories,"Tue, 21 Aug 2018 22:23:30 +0530",SPAM
ShopClues <info@offers.shopcluesmail.com>,"Rate Kum, Value Zyada","Tue, 21 Aug 2018 12:40:24 -0000",SPAM
